дата,дата_время,тип_оплаты,карта,сумма,название_кофе
2026-03-25,2026-03-25 19:34:24.542,карта,ANON-0000-0000-0079,38.7,Капучино
2026-03-26,2026-03-26 10:35:49.679,карта,ANON-0000-0000-0055,38.7,Какао
2026-03-26,2026-03-26 10:36:36.151,карта,ANON-0000-0000-0055,38.7,Латте
2026-03-26,2026-03-26 10:42:30.170,карта,ANON-0000-0000-0080,38.7,Латте
2026-03-26,2026-03-26 11:11:47.335,карта,ANON-0000-0000-0009,28.9,Кортадо
2026-03-26,2026-03-26 13:35:52.773,карта,ANON-0000-0000-0003,28.9,Американо
2026-03-26,2026-03-26 13:36:49.644,карта,ANON-0000-0000-0032,28.9,Кортадо
2026-03-26,2026-03-26 13:37:59.723,карта,ANON-0000-0000-0059,28.9,Кортадо
2026-03-26,2026-03-26 13:57:53.677,карта,ANON-0000-0000-0050,28.9,Американо
2026-03-26,2026-03-26 15:48:02.270,карта,ANON-0000-0000-0081,38.7,Латте
2026-03-26,2026-03-26 18:33:38.568,карта,ANON-0000-0000-0024,38.7,Латте
2026-03-26,2026-03-26 18:34:54.648,карта,ANON-0000-0000-0009,38.7,Горячий шоколад
2026-03-27,2026-03-27 11:04:51.174,карта,ANON-0000-0000-0003,28.9,Кортадо
2026-03-27,2026-03-27 11:05:58.236,карта,ANON-0000-0000-0003,33.8,Американо с молоком
2026-03-27,2026-03-27 12:57:00.462,карта,ANON-0000-0000-0082,33.8,Американо с молоком
2026-03-27,2026-03-27 13:35:20.039,карта,ANON-0000-0000-0083,38.7,Горячий шоколад
2026-03-27,2026-03-27 14:22:31.662,карта,ANON-0000-0000-0012,38.7,Капучино
2026-03-27,2026-03-27 14:23:35.380,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-27,2026-03-27 18:30:11.833,карта,ANON-0000-0000-0084,28.9,Кортадо
2026-03-27,2026-03-27 19:31:12.442,наличные,,40.0,Латте
2026-03-28,2026-03-28 14:24:47.092,карта,ANON-0000-0000-0085,28.9,Кортадо
2026-03-28,2026-03-28 17:24:46.244,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-28,2026-03-28 17:27:05.304,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-28,2026-03-28 17:32:44.652,карта,ANON-0000-0000-0086,38.7,Латте
2026-03-29,2026-03-29 10:56:19.495,карта,ANON-0000-0000-0087,38.7,Латте
2026-03-29,2026-03-29 12:34:17.383,карта,ANON-0000-0000-0088,38.7,Капучино
2026-03-29,2026-03-29 12:41:32.125,карта,ANON-0000-0000-0088,38.7,Капучино
2026-03-29,2026-03-29 13:22:44.618,наличные,,40.0,Капучино
2026-03-30,2026-03-30 11:59:19.854,карта,ANON-0000-0000-0069,38.7,Латте
2026-03-30,2026-03-30 13:49:25.815,наличные,,40.0,Капучино
2026-03-30,2026-03-30 16:12:31.786,карта,ANON-0000-0000-0017,38.7,Латте
2026-03-30,2026-03-30 16:36:40.513,карта,ANON-0000-0000-0009,38.7,Латте
2026-03-30,2026-03-30 16:37:57.553,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-03-31,2026-03-31 10:40:04.523,карта,ANON-0000-0000-0089,38.7,Капучино
2026-03-31,2026-03-31 19:36:45.000,наличные,,30.0,Американо
2026-04-01,2026-04-01 10:28:47.601,карта,ANON-0000-0000-0004,28.9,Американо
2026-04-01,2026-04-01 10:29:42.318,карта,ANON-0000-0000-0004,33.8,Американо с молоком
2026-04-01,2026-04-01 10:30:43.735,карта,ANON-0000-0000-0004,33.8,Американо с молоком
2026-04-01,2026-04-01 11:15:43.836,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-04-01,2026-04-01 17:01:42.924,наличные,,40.0,Капучино
2026-04-01,2026-04-01 18:18:42.372,карта,ANON-0000-0000-0024,33.8,Американо с молоком
2026-04-01,2026-04-01 18:45:27.436,карта,ANON-0000-0000-0090,38.7,Горячий шоколад
2026-04-02,2026-04-02 10:01:14.022,карта,ANON-0000-0000-0001,38.7,Латте
2026-04-02,2026-04-02 16:18:34.169,карта,ANON-0000-0000-0003,28.9,Американо
2026-04-02,2026-04-02 16:19:28.460,карта,ANON-0000-0000-0003,28.9,Кортадо
2026-04-02,2026-04-02 19:59:31.942,наличные,,40.0,Капучино
2026-04-03,2026-04-03 10:19:13.644,карта,ANON-0000-0000-0003,28.9,Кортадо
2026-04-03,2026-04-03 10:20:07.655,карта,ANON-0000-0000-0003,28.9,Американо
2026-04-03,2026-04-03 13:12:05.367,карта,ANON-0000-0000-0012,38.7,Капучино
2026-04-03,2026-04-03 15:36:11.735,наличные,,30.0,Кортадо
2026-04-04,2026-04-04 10:44:55.988,карта,ANON-0000-0000-0091,38.7,Латте
2026-04-04,2026-04-04 11:26:38.085,карта,ANON-0000-0000-0092,38.7,Латте
2026-04-04,2026-04-04 11:27:48.411,карта,ANON-0000-0000-0093,38.7,Капучино
2026-04-04,2026-04-04 12:23:02.216,карта,ANON-0000-0000-0094,28.9,Кортадо
2026-04-04,2026-04-04 19:42:07.740,наличные,,40.0,Латте
2026-04-05,2026-04-05 10:40:42.728,карта,ANON-0000-0000-0095,28.9,Американо
2026-04-05,2026-04-05 10:42:06.204,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-05,2026-04-05 11:06:14.643,карта,ANON-0000-0000-0096,28.9,Кортадо
2026-04-05,2026-04-05 12:14:27.975,карта,ANON-0000-0000-0097,33.8,Американо с молоком
2026-04-05,2026-04-05 14:23:40.387,карта,ANON-0000-0000-0098,38.7,Латте
2026-04-05,2026-04-05 14:24:50.417,карта,ANON-0000-0000-0098,28.9,Кортадо
2026-04-05,2026-04-05 15:30:50.383,наличные,,40.0,Латте
2026-04-05,2026-04-05 15:54:15.768,наличные,,40.0,Капучино
2026-04-05,2026-04-05 15:55:30.947,наличные,,30.0,Американо
2026-04-05,2026-04-05 16:17:43.975,наличные,,40.0,Какао
2026-04-05,2026-04-05 16:18:23.558,карта,ANON-0000-0000-0003,24.0,Эспрессо
2026-04-06,2026-04-06 12:32:31.398,карта,ANON-0000-0000-0099,33.8,Американо с молоком
2026-04-06,2026-04-06 14:13:18.733,карта,ANON-0000-0000-0040,38.7,Капучино
2026-04-06,2026-04-06 14:14:27.029,карта,ANON-0000-0000-0040,28.9,Американо
2026-04-06,2026-04-06 14:49:50.183,карта,ANON-0000-0000-0009,38.7,Латте
2026-04-07,2026-04-07 10:12:53.204,карта,ANON-0000-0000-0091,38.7,Латте
2026-04-07,2026-04-07 12:44:31.936,карта,ANON-0000-0000-0040,38.7,Капучино
2026-04-07,2026-04-07 12:46:05.118,карта,ANON-0000-0000-0040,38.7,Капучино
2026-04-07,2026-04-07 14:16:24.949,карта,ANON-0000-0000-0100,28.9,Кортадо
2026-04-07,2026-04-07 14:17:30.628,карта,ANON-0000-0000-0100,24.0,Эспрессо
2026-04-07,2026-04-07 18:01:16.608,карта,ANON-0000-0000-0101,38.7,Горячий шоколад
2026-04-07,2026-04-07 18:02:03.878,карта,ANON-0000-0000-0101,33.8,Американо с молоком
2026-04-08,2026-04-08 10:58:21.106,карта,ANON-0000-0000-0102,33.8,Американо с молоком
2026-04-08,2026-04-08 10:59:27.558,карта,ANON-0000-0000-0103,38.7,Капучино
2026-04-08,2026-04-08 11:01:20.464,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-08,2026-04-08 11:04:47.030,карта,ANON-0000-0000-0104,38.7,Капучино
2026-04-08,2026-04-08 12:54:25.897,наличные,,25.0,Эспрессо
2026-04-08,2026-04-08 15:43:36.881,наличные,,35.0,Американо с молоком
2026-04-08,2026-04-08 16:41:37.806,карта,ANON-0000-0000-0017,38.7,Латте
2026-04-08,2026-04-08 18:18:09.713,карта,ANON-0000-0000-0105,28.9,Американо
2026-04-08,2026-04-08 19:22:27.477,карта,ANON-0000-0000-0024,33.8,Американо с молоком
2026-04-08,2026-04-08 19:23:59.268,карта,ANON-0000-0000-0106,38.7,Капучино
2026-04-09,2026-04-09 10:22:27.359,наличные,,40.0,Капучино
2026-04-09,2026-04-09 10:24:10.103,наличные,,30.0,Американо
2026-04-09,2026-04-09 11:42:28.468,карта,ANON-0000-0000-0091,38.7,Латте
2026-04-09,2026-04-09 15:11:48.720,карта,ANON-0000-0000-0107,38.7,Горячий шоколад
2026-04-09,2026-04-09 17:25:23.936,карта,ANON-0000-0000-0049,38.7,Горячий шоколад
2026-04-10,2026-04-10 10:21:26.175,наличные,,25.0,Эспрессо
2026-04-10,2026-04-10 17:55:07.018,наличные,,40.0,Горячий шоколад
2026-04-10,2026-04-10 17:55:31.244,карта,ANON-0000-0000-0108,24.0,Эспрессо
2026-04-10,2026-04-10 18:24:59.290,карта,ANON-0000-0000-0009,38.7,Капучино
2026-04-10,2026-04-10 20:04:05.386,карта,ANON-0000-0000-0109,38.7,Латте
2026-04-11,2026-04-11 10:41:23.155,карта,ANON-0000-0000-0110,28.9,Американо
2026-04-11,2026-04-11 10:42:59.365,карта,ANON-0000-0000-0110,28.9,Американо
2026-04-11,2026-04-11 16:35:23.069,карта,ANON-0000-0000-0017,38.7,Латте
2026-04-11,2026-04-11 19:16:56.588,карта,ANON-0000-0000-0106,38.7,Капучино
2026-04-11,2026-04-11 19:18:36.619,карта,ANON-0000-0000-0024,33.8,Американо с молоком
2026-04-12,2026-04-12 19:03:43.403,карта,ANON-0000-0000-0019,38.7,Горячий шоколад
2026-04-12,2026-04-12 19:38:23.189,карта,ANON-0000-0000-0009,28.9,Кортадо
2026-04-13,2026-04-13 12:29:19.823,карта,ANON-0000-0000-0009,38.7,Латте
2026-04-13,2026-04-13 12:43:02.389,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-13,2026-04-13 15:06:52.292,наличные,,40.0,Горячий шоколад
2026-04-13,2026-04-13 15:07:55.966,наличные,,40.0,Горячий шоколад
2026-04-13,2026-04-13 16:18:03.938,карта,ANON-0000-0000-0111,38.7,Капучино
2026-04-13,2026-04-13 16:19:39.799,карта,ANON-0000-0000-0111,38.7,Латте
2026-04-13,2026-04-13 17:51:26.026,карта,ANON-0000-0000-0112,38.7,Капучино
2026-04-13,2026-04-13 17:53:19.237,карта,ANON-0000-0000-0012,38.7,Капучино
2026-04-14,2026-04-14 10:55:27.406,наличные,,40.0,Латте
2026-04-14,2026-04-14 12:24:39.028,карта,ANON-0000-0000-0113,38.7,Капучино
2026-04-14,2026-04-14 12:27:08.951,наличные,,30.0,Кортадо
2026-04-14,2026-04-14 12:29:06.877,наличные,,30.0,Кортадо
2026-04-14,2026-04-14 12:31:36.036,наличные,,35.0,Американо с молоком
2026-04-14,2026-04-14 13:21:49.808,карта,ANON-0000-0000-0114,28.9,Кортадо
2026-04-14,2026-04-14 14:23:31.631,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-14,2026-04-14 14:24:26.930,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-14,2026-04-14 14:25:18.122,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-14,2026-04-14 15:46:27.733,карта,ANON-0000-0000-0017,38.7,Капучино
2026-04-14,2026-04-14 16:59:54.823,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-04-14,2026-04-14 17:00:45.387,карта,ANON-0000-0000-0019,38.7,Латте
2026-04-14,2026-04-14 18:38:19.649,карта,ANON-0000-0000-0115,38.7,Капучино
2026-04-15,2026-04-15 11:45:24.619,карта,ANON-0000-0000-0064,28.9,Американо
2026-04-15,2026-04-15 17:01:46.359,карта,ANON-0000-0000-0003,28.9,Американо
2026-04-15,2026-04-15 17:02:49.748,карта,ANON-0000-0000-0004,33.8,Американо с молоком
2026-04-15,2026-04-15 19:33:03.036,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-04-15,2026-04-15 19:41:58.112,наличные,,25.0,Эспрессо
2026-04-16,2026-04-16 10:43:49.907,наличные,,35.0,Американо с молоком
2026-04-16,2026-04-16 10:46:25.706,карта,ANON-0000-0000-0116,33.8,Американо с молоком
2026-04-16,2026-04-16 12:40:47.675,карта,ANON-0000-0000-0117,38.7,Какао
